order_id,customer_id,order_date,status,sales_channel
O50087,C1037,2025-08-27,Completed,Marketplace
O50088,C1037,2025-01-10,Completed,Marketplace
O50089,C1018,2025-04-20,Completed,Direct
O50090,C1115,2025-11-08,Cancelled,Online
O50091,C1017,2025-03-30,Completed,Online
O50092,C1010,2025-04-20,Completed,Marketplace
O50093,C1112,2025-04-28,Returned,Marketplace
O50094,C1066,2025-03-06,Cancelled,Online
O50095,C1052,2025-02-26,Completed,Online
O50096,C1088,2025-05-07,Completed,Online
O50097,C1045,2025-11-16,Completed,Direct
O50098,C1015,2025-01-01,Completed,Online
O50099,C1087,2025-04-14,Completed,Online
O50100,C1021,2025-01-23,Completed,Direct
O50101,C1066,2025-07-24,Cancelled,Online
O50102,C1113,2025-04-02,Cancelled,Marketplace
O50103,C1112,2025-10-17,Cancelled,Online
O50104,C1043,2025-08-02,Returned,Direct
O50105,C1093,2025-10-14,Completed,Marketplace
O50106,C1073,2025-08-20,Completed,Direct
O50107,C1057,2025-06-10,Completed,Online
O50108,C1016,2025-11-11,Completed,Online
O50109,C1045,2025-06-23,Completed,Marketplace
O50110,C1078,2025-12-13,Completed,Online
O50111,C1118,2025-12-30,Completed,Online
O50112,C1000,2025-08-03,Completed,Online
O50113,C1086,2025-09-04,Completed,Direct
O50114,C1101,2025-04-04,Completed,Marketplace
O50115,C1114,2025-10-25,Completed,Marketplace
O50116,C1050,2025-09-03,Completed,Marketplace
O50117,C1014,2025-11-26,Completed,Online
O50118,C1032,2025-04-08,Cancelled,Online
O50119,C1102,2025-10-15,Completed,Online
O50120,C1105,2025-06-21,Completed,Marketplace
O50121,C1076,2025-03-09,Completed,Online
O50122,C1014,2025-03-04,Completed,Direct
O50123,C1014,2025-07-25,Completed,Direct
O50124,C1057,2025-04-27,Completed,Online
O50125,C1070,2025-02-07,Completed,Marketplace
O50126,C1003,2025-06-05,Completed,Online
O50127,C1082,2025-08-27,Completed,Direct
O50128,C1065,2025-04-27,Returned,Direct
O50129,C1001,2025-12-15,Completed,Direct
O50130,C1011,2025-10-12,Completed,Online
O50131,C1054,2025-07-07,Completed,Online
O50132,C1086,2025-12-08,Completed,Online
O50133,C1099,2025-06-08,Returned,Online
O50134,C1051,2025-02-20,Returned,Online
O50135,C1035,2025-01-14,Completed,Online
O50136,C1116,2025-12-09,Completed,Direct
O50137,C1055,2025-12-17,Completed,Online
O50138,C1037,2025-09-27,Completed,Online
O50139,C1053,2025-02-07,Cancelled,Direct
O50140,C1001,2025-04-18,Completed,Marketplace
O50141,C1036,2025-01-15,Completed,Marketplace
O50142,C1061,2025-01-19,Completed,Marketplace
O50143,C1110,2025-03-31,Completed,Direct
O50144,C1088,2025-07-28,Completed,Marketplace
O50145,C1093,2025-01-24,Completed,Online
O50146,C1065,2025-12-26,Completed,Marketplace
O50147,C1013,2025-06-16,Completed,Online
O50148,C1046,2025-04-07,Completed,Online
O50149,C1119,2025-07-08,Returned,Online
O50150,C1005,2025-10-16,Returned,Online
O50151,C1105,2025-04-25,Completed,Marketplace
O50152,C1082,2025-01-18,Completed,Online
O50153,C1034,2025-01-19,Completed,Online
O50154,C1093,2025-11-07,Returned,Online
O50155,C1100,2025-02-10,Completed,Direct
O50156,C1005,2025-08-20,Completed,Online
O50157,C1012,2025-05-21,Completed,Marketplace
O50158,C1079,2025-10-11,Completed,Direct
O50159,C1119,2025-01-23,Completed,Online
O50160,C1002,2025-11-24,Completed,Marketplace
O50161,C1079,2025-09-12,Completed,Online
O50162,C1016,2025-06-13,Completed,Online
O50163,C1078,2025-03-17,Completed,Marketplace
O50164,C1074,2025-12-23,Completed,Direct
O50165,C1010,2025-04-21,Completed,Online
O50166,C1081,2025-06-29,Completed,Marketplace
O50167,C1107,2025-05-24,Completed,Online
O50168,C1103,2025-03-26,Completed,Marketplace
O50169,C1003,2025-06-02,Cancelled,Marketplace
O50170,C1029,2025-02-25,Completed,Marketplace
O50171,C1028,2025-01-01,Cancelled,Marketplace
O50172,C1054,2025-04-16,Completed,Online
O50173,C1017,2025-02-10,Completed,Marketplace
O50174,C1102,2025-06-01,Completed,Marketplace
O50175,C1093,2025-11-11,Completed,Marketplace
O50176,C1097,2025-03-01,Completed,Online
O50177,C1023,2025-01-01,Completed,Online
O50178,C1001,2025-02-10,Completed,Online
O50179,C1109,2025-07-05,Completed,Online
O50180,C1034,2025-04-11,Completed,Online
O50181,C1078,2025-06-28,Completed,Online
O50182,C1109,2025-01-11,Completed,Marketplace
O50183,C1004,2025-05-02,Completed,Online
O50184,C1000,2025-05-30,Completed,Direct
O50185,C1000,2025-06-07,Cancelled,Online
O50186,C1018,2025-07-21,Completed,Marketplace
O50187,C1006,2025-10-12,Completed,Online
O50188,C1098,2025-06-20,Completed,Online
O50189,C1072,2025-11-04,Completed,Marketplace
O50190,C1117,2025-07-13,Completed,Direct
O50191,C1096,2025-04-06,Completed,Online
O50192,C1115,2025-03-25,Completed,Online
O50193,C1028,2025-04-28,Completed,Marketplace
O50194,C1034,2025-08-07,Completed,Marketplace
O50195,C1101,2025-03-30,Completed,Online
O50196,C1029,2025-11-30,Completed,Online
O50197,C1006,2025-06-25,Completed,Online
O50198,C1080,2025-11-12,Completed,Direct
O50199,C1096,2025-09-07,Completed,Online
O50200,C1116,2025-05-02,Completed,Online
O50201,C1111,2025-03-25,Completed,Direct
O50202,C1014,,Completed,Online
O50203,C1092,2025-05-01,Completed,Online
O50204,C1101,2025-04-01,Completed,Online
O50205,C1083,2025-12-06,Completed,Online
O50206,C1098,2025-06-26,Completed,Online
O50207,C1100,2025-01-18,Returned,Online
O50208,C1053,2025-06-30,Completed,Marketplace
O50209,C1004,2025-06-18,Completed,Marketplace
O50210,C1054,2025-11-12,Completed,Online
O50211,C1024,2025-09-17,Completed,Marketplace
O50212,C1013,2025-03-11,Cancelled,Online
O50213,C1014,2025-02-24,Returned,Direct
O50214,C1083,2025-08-09,Cancelled,Online
O50215,C1060,2025-01-18,Completed,Marketplace
O50216,C1064,2025-04-27,Completed,Online
O50217,C1089,2025-02-20,Completed,Marketplace
O50218,C1065,2025-01-08,Completed,Online
O50219,C1075,2025-12-02,Completed,Marketplace
O50220,C1010,2025-02-02,Completed,Online
O50221,C1102,2025-01-04,Completed,Direct
O50222,C1053,2025-12-07,Completed,Online
O50223,C1018,2025-03-10,Completed,Marketplace
O50224,C1097,2025-10-26,Completed,Direct
O50225,C1088,2025-01-12,Completed,Direct
O50226,C1006,2025-02-26,Completed,Online
O50227,C1023,2025-02-10,Completed,Online
O50228,C1001,2025-09-15,Completed,Online
O50229,C1032,2025-08-15,Completed,Online
O50230,C1011,2025-06-23,Completed,Marketplace
O50231,C1085,2025-03-30,Completed,Direct
O50232,C1062,2025-02-02,Completed,Direct
O50233,C1117,2025-07-27,Completed,Online
O50234,C1089,2025-03-26,Completed,Marketplace
O50235,C1073,2025-08-04,Completed,Direct
O50236,C1061,2025-09-08,Completed,Direct
O50237,C1006,2025-11-07,Completed,Online
O50238,C1008,2025-06-30,Completed,Online
O50239,C1073,2025-01-02,Completed,Direct
O50240,C1000,2025-04-13,Completed,Online
O50241,C1005,2025-11-08,Completed,Online
O50242,C1026,2025-07-14,Cancelled,Direct
O50243,C1106,2025-08-14,Completed,Direct
O50244,C1055,2025-06-17,Completed,Direct
O50245,C1085,2025-03-01,Cancelled,Marketplace
O50246,C1049,2025-11-24,Completed,Online
O50247,C1020,2025-10-10,Completed,Online
O50248,C1044,2025-12-30,Returned,Online
O50249,C1011,2025-11-09,Completed,Marketplace
O50250,C1092,2025-04-17,Completed,Online
O50251,C1022,2025-04-03,Completed,Marketplace
O50252,C1045,2025-04-01,Completed,Online
O50253,C1117,2025-12-02,Completed,Marketplace
O50254,C1071,2025-07-23,Completed,Online
O50255,C1055,2025-06-15,Completed,Online
O50256,C1065,2025-12-20,Completed,Online
O50257,C1094,2025-08-09,Completed,Online
O50258,C1030,2025-11-28,Completed,Direct
O50259,C1076,2025-12-26,Completed,Online
O50260,C1104,2025-01-29,Cancelled,Online
O50261,C1068,2025-05-12,Completed,Marketplace
O50262,C1053,2025-09-25,Completed,Marketplace
O50263,C1017,2025-10-24,Completed,Online
O50264,C1029,2025-02-24,Completed,Online
O50265,C1113,2025-04-27,Completed,Online
O50266,C1064,2025-07-20,Completed,Marketplace
O50267,C1036,2025-10-19,Completed,Online
O50268,C1050,2025-02-11,Cancelled,Online
O50269,C1069,2025-08-08,Cancelled,Online
O50270,C1064,2025-04-19,Completed,Marketplace
O50271,C1083,2025-03-20,Completed,Online
O50272,C1030,2025-07-08,Completed,Direct
O50273,C1077,2025-06-01,Completed,Online
O50274,C1053,2025-08-21,Completed,Marketplace
O50275,C1112,2025-04-26,Cancelled,Online
O50276,C1018,2025-10-28,Completed,Online
O50277,C1017,2025-01-29,Completed,Online
O50278,C1055,2025-11-11,Completed,Direct
O50279,C1061,2025-01-11,Returned,Direct
O50280,C1082,2025-09-26,Completed,Online
O50281,C1048,2025-05-07,Completed,Online
O50282,C1109,2025-05-20,Completed,Direct
O50283,C1056,2025-01-07,Returned,Online
O50284,C1015,2025-09-14,Completed,Online
O50285,C1014,2025-03-02,Completed,Online
O50286,C1116,2025-08-29,Completed,Marketplace
O50287,C1016,2025-09-22,Returned,Marketplace
O50288,C1113,2025-11-05,Completed,Marketplace
O50289,C1033,2025-09-16,Completed,Direct
O50290,C1011,2025-04-21,Returned,Online
O50291,C1036,2025-09-27,Completed,Online
O50292,C1073,2025-10-29,Completed,Online
O50293,C1051,2025-04-26,Completed,Online
O50294,C1094,2025-02-15,Completed,Online
O50295,C1073,2025-11-21,Completed,Online
O50296,C1048,2025-02-23,Completed,Online
O50297,C1076,2025-08-05,Completed,Marketplace
O50298,C1116,2025-03-28,Cancelled,Online
O50299,C1049,2025-02-15,Completed,Online
O50300,C1018,2025-10-11,Completed,Marketplace
O50301,C1049,2025-02-22,Completed,Marketplace
O50302,C1100,2025-09-02,Completed,Marketplace
O50303,C1026,2025-09-10,Completed,Direct
O50304,C1113,2025-01-22,Cancelled,Marketplace
O50305,C1070,2025-03-05,Returned,Online
O50306,C1072,2025-10-17,Completed,Online
O50307,C1038,2025-07-05,Completed,Marketplace
O50308,C1110,2025-02-14,Completed,Online
O50309,C1004,2025-12-28,Completed,Online
O50310,C1035,2025-04-07,Completed,Online
O50311,C1050,2025-01-02,Completed,Online
O50312,C1057,2025-12-04,Completed,Online
O50313,C1056,2025-01-07,Completed,Online
O50314,C1017,2025-07-21,Completed,Direct
O50315,C1027,2025-12-29,Completed,Direct
O50316,C1011,2025-07-30,Completed,Online
O50317,C1068,2025-08-02,Completed,Direct
O50318,C1042,2025-05-22,Completed,Online
O50319,C1067,2025-02-16,Completed,Direct
O50320,C1070,2025-07-29,Completed,Direct
O50321,C1084,2025-11-24,Completed,Online
O50322,C1065,2025-02-03,Completed,Marketplace
O50323,C1077,2025-11-18,Completed,Direct
O50324,C1070,2025-06-01,Completed,Direct
O50325,C1078,2025-07-15,Cancelled,Direct
O50326,C1073,2025-03-02,Completed,Marketplace
O50327,C1037,2025-08-15,Completed,Online
O50328,C1029,2025-03-08,Completed,Direct
O50329,C1094,2025-04-10,Returned,Marketplace
O50330,C1041,2025-09-21,Completed,Marketplace
O50331,C1065,2025-01-19,Cancelled,Online
O50332,C1023,2025-06-13,Completed,Marketplace
O50333,C1051,2025-08-06,Completed,Online
O50334,C1063,2025-02-18,Completed,Marketplace
O50335,C1075,2025-04-18,Completed,Online
O50336,C1063,2025-05-06,Completed,Marketplace
O50337,C1043,2025-08-31,Completed,Direct
O50338,C1115,2025-12-23,Completed,Online
O50339,C1061,2025-11-02,Cancelled,Online
O50340,C1096,2025-03-11,Completed,Online
O50341,C1088,2025-01-07,Completed,Direct
O50342,C1066,2025-01-19,Completed,Marketplace
O50343,C1106,2025-08-06,Completed,Online
O50344,C1015,2025-02-27,Completed,Online
O50345,C1110,2025-03-26,Cancelled,Online
O50346,C1102,2025-11-06,Completed,Online
O50347,C1060,2025-11-15,Completed,Direct
O50348,C1088,2025-11-03,Completed,Marketplace
O50349,C1062,2025-04-03,Completed,Online
O50350,C1032,2025-08-15,Completed,Direct
O50351,C1095,2025-08-11,Completed,Online
O50352,C1029,2025-03-09,Completed,Direct
O50353,C1037,2025-07-22,Returned,Online
O50354,C1062,2025-07-11,Returned,Marketplace
O50355,C1100,2025-05-25,Cancelled,Direct
O50356,C1046,2025-10-02,Completed,Online
O50357,C1059,2025-09-05,Completed,Marketplace
O50358,C1004,2025-07-14,Cancelled,Direct
O50359,C1013,2025-09-22,Completed,Online
O50360,C1006,2025-10-06,Completed,Online
O50361,C1008,2025-07-26,Completed,Marketplace
O50362,C1104,2025-04-08,Completed,Online
O50363,C1101,2025-10-04,Completed,Online
O50364,C1098,2025-09-19,Returned,Online
O50365,C1006,2025-12-25,Completed,Marketplace
O50366,C1009,2025-02-24,Completed,Online
O50367,C1033,2025-06-03,Completed,Online
O50368,C1067,2025-12-04,Completed,Direct
O50369,C1040,2025-07-07,Completed,Online
O50370,C1058,2025-12-11,Completed,Direct
O50371,C1020,2025-01-05,Completed,Online
O50372,C1087,2025-01-13,Completed,Direct
O50373,C1037,2025-10-18,Completed,Marketplace
O50374,C1007,2025-05-11,Cancelled,Online
O50375,C1089,2025-07-09,Completed,Direct
O50376,C1108,2025-06-06,Completed,Online
O50377,C1001,2025-05-29,Completed,Online
O50378,C1052,2025-12-09,Completed,Online
O50379,C1099,2025-02-04,Completed,Marketplace
O50380,C1084,2025-10-09,Completed,Online
O50381,C1102,2025-11-21,Completed,Online
O50382,C1049,2025-08-28,Completed,Online
O50383,C1044,2025-05-25,Completed,Online
O50384,C1085,2025-02-28,Completed,Online
O50385,C1018,2025-09-07,Completed,Online
O50386,C1028,2025-06-21,Completed,Online
O50387,C1072,2025-02-24,Completed,Online
O50388,C1080,2025-05-12,Completed,Marketplace
O50389,C1014,2025-12-17,Completed,Online
O50390,C1060,2025-04-07,Completed,Marketplace
O50391,C1043,2025-03-07,Returned,Online
O50392,C1060,2025-09-06,Completed,Online
O50393,C1115,2025-03-14,Completed,Online
O50394,C1009,2025-12-02,Returned,Online
O50395,C1119,2025-11-10,Completed,Online
O50396,C1053,2025-12-25,Completed,Direct
O50397,C1092,2025-11-30,Cancelled,Online
O50398,C1050,2025-03-30,Completed,Online
O50399,C1037,2025-03-19,Completed,Marketplace
O50400,C1092,2025-05-06,Completed,Online
O50401,C1082,2025-06-21,Completed,Online
O50402,C1017,2025-11-18,Completed,Online
O50403,C1084,2025-09-25,Returned,Online
O50404,C1090,2025-08-24,Returned,Online
O50405,C1046,2025-11-17,Completed,Marketplace
O50406,C1111,2025-08-24,Completed,Direct
O50407,C1076,2025-05-19,Completed,Online
O50408,C1040,2025-05-31,Cancelled,Marketplace
O50409,C1001,2025-07-08,Completed,Marketplace
O50410,C1080,2025-02-02,Returned,Online
O50411,C1025,2025-09-28,Completed,Marketplace
O50412,C1090,2025-08-27,Completed,Marketplace
O50413,C1063,2025-09-24,Completed,Direct
O50414,C1056,2025-07-14,Completed,Direct
O50415,C1019,2025-10-13,Completed,Online
O50416,C1085,2025-12-13,Completed,Online
O50417,C1019,2025-07-28,Cancelled,Online
O50418,C1050,2025-06-12,Completed,Online
O50419,C1100,2025-02-08,Completed,Online
O50420,C1110,2025-10-12,Completed,Direct
O50421,C1118,2025-11-26,Completed,Online
O50422,C1114,2025-09-13,Returned,Online
O50423,C1066,2025-11-12,Completed,Direct
O50424,C1024,2025-11-11,Completed,Online
O50425,C1100,2025-10-19,Completed,Online
O50426,C1096,2025-07-03,Returned,Direct
O50427,C1118,2025-02-06,Completed,Online
O50428,C1078,2025-01-02,Cancelled,Online
O50429,C1016,2025-03-16,Completed,Online
O50430,C1060,2025-06-07,Completed,Direct
O50431,C1053,2025-09-29,Returned,Online
O50432,C1101,2025-06-16,Cancelled,Online
O50433,C1047,2025-01-09,Returned,Online
O50434,C1039,2025-03-18,Completed,Online
O50435,C1009,2025-12-24,Completed,Direct
O50436,C1100,2025-12-27,Completed,Online
O50437,C1090,2025-05-18,Completed,Direct
O50438,C1004,2025-10-21,Cancelled,Online
O50439,C1052,2025-09-20,Returned,Online
O50440,C1057,2025-12-06,Completed,Direct
O50441,C1056,2025-11-20,Completed,Online
O50442,C1110,2025-08-18,Completed,Online
O50443,C1018,2025-05-25,Completed,Direct
O50444,C1036,2025-08-17,Completed,Online
O50445,C1021,2025-04-27,Completed,Online
O50446,C1029,2025-05-08,Completed,Direct
O50447,C1108,2025-08-11,Completed,Online
O50448,C1112,2025-07-28,Completed,Online
O50449,C1005,2025-08-01,Completed,Online
O50450,C1075,2025-05-21,Returned,Online
O50451,C1027,2025-05-30,Completed,Online
O50452,C1023,2025-01-04,Completed,Marketplace
O50453,C1035,2025-08-08,Completed,Online
O50454,C1023,2025-07-30,Completed,Marketplace
O50455,C1058,2025-12-08,Returned,Online
O50456,C1119,2025-07-04,Completed,Online
O50457,C1070,2025-06-20,Completed,Online
O50458,C1086,2025-01-25,Returned,Marketplace
O50459,C1059,2025-03-13,Returned,Online
O50460,C1001,2025-05-04,Completed,Online
O50461,C1010,2025-05-18,Completed,Direct
O50462,C1032,2025-05-13,Completed,Marketplace
O50463,C1029,2025-05-24,Completed,Online
O50464,C1100,2025-10-08,Completed,Direct
O50465,C1101,2025-02-17,Completed,Online
O50466,C1102,2025-05-02,Cancelled,Online
O50467,C1076,2025-03-01,Completed,Online
O50468,C1066,2025-04-23,Completed,Online
O50469,C1077,2025-09-07,Completed,Online
O50470,C1048,2025-01-18,Completed,Marketplace
O50471,C1080,2025-05-04,Completed,Online
O50472,C1095,2025-01-09,Cancelled,Direct
O50473,C1091,2025-12-15,Returned,Direct
O50474,C1073,2025-09-23,Completed,Marketplace
O50475,C1006,2025-03-30,Completed,Marketplace
O50476,C1086,2025-03-14,Completed,Marketplace
O50477,C1043,2025-02-06,Completed,Direct
O50478,C1089,2025-06-22,Returned,Online
O50479,C1064,2025-10-03,Completed,Online
O50480,C1105,2025-08-02,Completed,Online
O50481,C1040,2025-11-18,Completed,Online
O50482,C1111,2025-05-06,Completed,Online
O50483,C1101,2025-04-12,Completed,Marketplace
O50484,C1039,2025-06-24,Completed,Online
O50485,C1057,2025-03-15,Completed,Direct
O50486,C1063,2025-12-23,Completed,Online
O50487,C1092,2025-03-09,Completed,Online
O50488,C1082,2025-06-24,Completed,Online
O50489,C1102,2025-07-10,Completed,Online
O50490,C1044,2025-01-21,Returned,Online
O50491,C1060,2025-06-20,Completed,Online
O50492,C1051,2025-06-15,Completed,Online
O50493,C1109,2025-04-05,Completed,Online
O50494,C1036,2025-02-16,Completed,Online
O50495,C1070,2025-01-17,Completed,Online
O50496,C1014,2025-01-04,Completed,Online
O50497,C1102,2025-06-25,Returned,Online
O50498,C1046,2025-02-02,Completed,Online
O50499,C1040,2025-12-17,Completed,Online
O50500,C1069,2025-03-31,Completed,Online
O50501,C1059,2025-08-27,Completed,Marketplace
O50502,C1101,2025-09-03,Completed,Direct
O50503,C1063,2025-06-30,Completed,Direct
O50504,C1062,2025-11-19,Completed,Online
O50505,C1012,2025-02-10,Completed,Online
O50506,C1002,2025-03-27,Returned,Online
O50507,C1047,2025-04-03,Completed,Marketplace
O50508,C1119,2025-02-19,Cancelled,Marketplace
O50509,C1110,2025-04-18,Completed,Direct
O50510,C1075,2025-04-25,Completed,Direct
O50511,C1075,2025-10-07,Completed,Online
O50512,C1046,2025-04-21,Completed,Marketplace
O50513,C1021,2025-11-16,Completed,Direct
O50514,C1001,2025-10-10,Completed,Online
O50515,C1040,2025-11-26,Completed,Direct
O50516,C1037,2025-02-08,Cancelled,Online
O50517,C1022,2025-12-26,Completed,Direct
O50518,C1031,2025-08-13,Completed,Marketplace
O50519,C1002,2025-12-25,Completed,Online
O50520,C1072,2025-05-10,Completed,Marketplace
O50521,C1111,2025-12-14,Returned,Online
O50522,C1082,2025-08-03,Completed,Marketplace
O50523,C1053,2025-01-27,Completed,Marketplace
O50524,C1050,2025-05-30,Completed,Marketplace
O50525,C1036,2025-02-20,Completed,Direct
O50526,C1017,2025-12-10,Completed,Online
O50527,C1071,2025-04-22,Completed,Online
O50528,C1067,2025-03-23,Completed,Online
O50529,C1000,2025-07-21,Completed,Online
O50530,C1049,2025-06-05,Completed,Online
O50531,C1033,2025-02-05,Completed,Online
O50532,C1020,2025-10-26,Completed,Online
O50533,C1084,2025-11-05,Completed,Online
O50534,C1063,2025-09-29,Cancelled,Direct
O50535,C1076,2025-08-14,Completed,Online
O50536,C1085,2025-05-27,Completed,Direct
O50537,C1117,2025-07-17,Returned,Online
O50538,C1096,2025-07-10,Completed,Online
O50539,C1074,2025-03-02,Completed,Online
O50540,C1105,2025-01-30,Completed,Online
O50541,C1057,2025-04-03,Completed,Online
O50542,C1118,2025-06-15,Cancelled,Online
O50543,C1091,2025-02-28,Completed,Online
O50544,C1078,2025-02-08,Completed,Online
O50545,C1108,2025-11-07,Completed,Marketplace
O50546,C1061,2025-05-17,Completed,Online
O50547,C1086,2025-08-02,Completed,Direct
O50548,C1034,2025-07-11,Completed,Online
O50549,C1115,2025-09-26,Completed,Direct
O50550,C1074,2025-09-28,Completed,Marketplace
O50551,C1093,2025-04-19,Completed,Direct
O50552,C1055,2025-11-06,Completed,Direct
O50553,C1104,2025-05-16,Completed,Online
O50554,C1008,2025-11-01,Completed,Online
O50555,C1013,2025-05-28,Completed,Online
O50556,C1060,2025-02-10,Completed,Direct
O50557,C1087,2025-10-05,Completed,Marketplace
O50558,C1097,2025-01-12,Completed,Online
O50559,C1052,2025-10-09,Completed,Direct
O50560,C1077,2025-01-16,Completed,Online
O50561,C1066,2025-03-17,Completed,Marketplace
O50562,C1115,2025-08-09,Completed,Marketplace
O50563,C1078,2025-12-10,Completed,Online
O50564,C1050,2025-05-30,Completed,Marketplace
O50565,C1116,2025-02-14,Completed,Direct
O50566,C1012,2025-03-27,Completed,Online
O50567,C1118,2025-11-24,Completed,Online
O50568,C1018,2025-09-23,Completed,Online
O50569,C1034,2025-02-06,Completed,Marketplace
O50570,C1098,2025-05-21,Completed,Online
O50571,C1088,2025-04-07,Completed,Direct
O50572,C1116,2025-03-06,Completed,Direct
O50573,C1089,2025-11-05,Completed,Online
O50574,C1076,2025-08-14,Completed,Online
O50575,C1041,2025-03-07,Completed,Marketplace
O50576,C1000,2025-08-26,Returned,Marketplace
O50577,C1014,2025-05-31,Completed,Online
O50578,C1035,2025-01-23,Completed,Online
O50579,C1004,2025-06-14,Cancelled,Online
O50580,C1060,2025-03-09,Returned,Direct
O50581,C1093,2025-03-31,Completed,Online
O50582,C1115,2025-11-17,Cancelled,Direct
O50583,C1058,2025-09-17,Cancelled,Online
O50584,C1105,2025-02-18,Completed,Direct
O50585,C1118,2025-11-07,Completed,Online
O50586,C1103,2025-07-29,Completed,Online
O50587,C1055,2025-11-16,Completed,Direct
O50588,C1039,2025-09-30,Completed,Direct
O50589,C1117,2025-05-04,Completed,Online
O50590,C1029,2025-07-15,Completed,Online
O50591,C1049,2025-07-13,Completed,Online
O50592,C1008,2025-09-20,Completed,Online
O50593,C1095,2025-04-01,Completed,Online
O50594,C1077,2025-05-02,Completed,Direct
O50595,C1010,2025-03-31,Completed,Online
O50596,C1026,2025-04-19,Completed,Marketplace
O50597,C1066,2025-02-28,Cancelled,Online
O50598,C1064,2025-01-14,Returned,Online
O50599,C1096,2025-12-10,Cancelled,Marketplace
O50600,C1031,2025-01-28,Cancelled,Online
O50601,C1110,2025-11-21,Completed,Marketplace
O50602,C1053,2025-01-02,Completed,Online
O50603,C1098,2025-10-11,Completed,Direct
O50604,C1028,2025-04-30,Completed,Marketplace
