line_id,order_id,product_id,quantity,discount_pct
L00167,O50072,P2010,2,0.2
L00168,O50073,P2003,3,0.15
L00169,O50073,P2006,5,0.0
L00170,O50073,P2014,6,0.0
L00171,O50073,P2007,4,0.0
L00172,O50074,P2004,2,0.0
L00173,O50074,P2013,6,0.0
L00174,O50074,P2006,2,0.1
L00175,O50074,P2008,3,0.0
L00176,O50075,P2012,4,0.0
L00177,O50075,P2005,4,0.0
L00178,O50075,P2005,3,0.0
L00179,O50075,P2005,4,0.05
L00180,O50076,P2008,5,0.1
L00181,O50077,P2001,3,0.1
L00182,O50077,P2009,6,0.0
L00183,O50077,P2002,4,0.0
L00184,O50077,P2012,5,0.0
L00185,O50078,P2011,2,0.05
L00186,O50078,P2004,1,0.0
L00187,O50078,P2015,1,0.2
L00188,O50079,P2008,6,0.0
L00189,O50079,P2013,5,0.0
L00190,O50079,P2015,3,0.15
L00191,O50079,P2013,5,0.05
L00192,O50080,P2006,5,0.1
L00193,O50081,P2001,3,0.15
L00194,O50081,P2005,2,0.0
L00195,O50081,P2009,4,0.2
L00196,O50081,P2002,2,0.0
L00197,O50082,P2003,1,0.0
L00198,O50082,P2013,2,0.2
L00199,O50082,P2008,3,0.05
L00200,O50082,P2001,4,0.1
L00201,O50083,P2004,3,0.0
L00202,O50083,P2007,2,0.1
L00203,O50083,P2013,5,0.0
L00204,O50084,P2006,4,0.0
L00205,O50085,P2011,2,0.05
L00206,O50085,P2001,3,0.0
L00207,O50085,P2009,3,0.0
L00208,O50085,P2001,4,0.1
L00209,O50086,P2009,6,0.15
L00210,O50087,P2009,2,0.1
L00211,O50088,P2006,3,0.0
L00212,O50088,P2012,5,0.05
L00213,O50088,P2003,6,0.0
L00214,O50088,P2001,1,0.15
L00215,O50089,P2002,1,0.15
L00216,O50089,P2007,5,0.15
L00217,O50089,P2008,5,0.1
L00218,O50090,P2008,3,0.15
L00219,O50090,P2010,4,0.0
L00220,O50090,P2002,1,0.2
L00221,O50091,P2008,3,0.1
L00222,O50092,P2013,5,0.0
L00223,O50093,P2005,5,0.15
L00224,O50093,P2003,1,0.1
L00225,O50093,P2010,3,0.1
L00226,O50093,P2009,4,0.0
L00227,O50094,P2003,3,0.0
L00228,O50094,P2002,1,0.0
L00229,O50094,P2010,2,0.1
L00230,O50095,P2004,5,0.05
L00231,O50096,P2015,3,0.15
L00232,O50096,P2006,5,0.1
L00233,O50096,P2002,2,0.15
L00234,O50097,P2002,4,0.05
L00235,O50097,P2013,3,0.1
L00236,O50097,P2012,5,0.2
L00237,O50097,P2001,3,0.0
L00238,O50098,P2009,4,0.0
L00239,O50098,P2002,4,0.1
L00240,O50099,P2012,2,0.0
L00241,O50099,P2001,1,0.15
L00242,O50100,P2011,3,0.0
L00243,O50101,P2008,4,0.0
L00244,O50102,P2009,2,0.15
L00245,O50102,P2007,5,0.1
L00246,O50102,P2005,4,0.2
L00247,O50102,P2001,6,0.1
L00248,O50103,P2001,3,0.0
L00249,O50103,P2013,5,0.1
L00250,O50103,P2002,2,0.0
L00251,O50103,P2009,3,0.15
L00252,O50104,P2011,3,0.1
L00253,O50104,P2010,3,0.0
L00254,O50104,P2005,4,0.1
L00255,O50104,P2001,3,0.0
L00256,O50105,P2012,2,0.0
L00257,O50105,P2006,4,0.0
L00258,O50106,P2001,1,0.0
L00259,O50106,P2012,4,0.0
L00260,O50106,P2006,2,0.0
L00261,O50107,P2009,5,0.2
L00262,O50107,P2007,4,0.0
L00263,O50107,P2003,5,0.0
L00264,O50107,P2015,3,0.05
L00265,O50108,P2005,4,0.0
L00266,O50109,P2013,1,0.0
L00267,O50110,P2009,2,0.0
L00268,O50110,P2014,5,0.0
L00269,O50110,P2010,1,0.0
L00270,O50111,P2014,1,0.0
L00271,O50112,P2005,1,0.05
L00272,O50113,P2009,1,0.0
L00273,O50113,P2003,1,0.05
L00274,O50114,P2005,3,0.0
L00275,O50114,P2009,3,0.2
L00276,O50115,P2006,1,0.0
L00277,O50116,P2003,6,0.05
L00278,O50117,P2010,4,0.2
L00279,O50117,P2011,1,0.2
L00280,O50117,P2007,2,0.05
L00281,O50117,P2009,3,0.0
L00282,O50118,P2014,2,0.2
L00283,O50118,P2003,3,0.1
L00284,O50119,P2005,6,0.0
L00285,O50119,P2007,6,0.05
L00286,O50120,P2011,6,0.05
L00287,O50120,P2003,1,0.0
L00288,O50120,P2011,2,0.0
L00289,O50121,P2004,6,0.0
L00290,O50122,P2011,5,0.0
L00291,O50122,P2015,6,0.1
L00292,O50123,P2010,1,0.05
L00293,O50124,P2011,3,0.0
L00294,O50124,P2009,3,0.05
L00295,O50125,P2009,2,0.05
L00296,O50125,P2011,6,0.1
L00297,O50125,P2012,3,0.0
L00298,O50126,P2002,6,0.0
L00299,O50126,P2004,1,0.0
L00300,O50126,P2015,1,0.0
L00301,O50127,P2010,2,0.0
L00302,O50127,P2002,2,0.1
L00303,O50127,P2001,6,0.15
L00304,O50127,P2014,1,0.1
L00305,O50128,P2003,3,0.05
L00306,O50129,P2003,3,0.0
L00307,O50129,P2008,1,0.0
L00308,O50129,P2011,6,0.1
L00309,O50129,P2010,6,0.0
L00310,O50130,P2009,1,0.05
L00311,O50130,P2004,3,1.25
L00312,O50130,P2005,1,0.0
L00313,O50131,P2004,3,0.1
L00314,O50131,P2004,1,0.2
L00315,O50131,P2015,4,0.15
L00316,O50132,P2010,5,0.1
L00317,O50133,P2010,6,0.05
L00318,O50133,P2013,2,0.0
L00319,O50133,P2011,4,0.0
L00320,O50134,P2004,3,0.05
L00321,O50134,P2001,6,0.05
L00322,O50134,P2003,4,0.15
L00323,O50135,P2003,2,0.05
L00324,O50135,P2014,4,0.0
L00325,O50135,P2013,4,0.0
L00326,O50135,P2013,6,0.0
L00327,O50136,P2013,4,0.0
L00328,O50136,P2009,2,0.0
L00329,O50136,P2012,3,0.05
L00330,O50137,P2009,1,0.0
L00331,O50137,P2012,5,0.0
L00332,O50137,P2005,6,0.1
L00333,O50137,P2007,5,0.0
L00334,O50138,P2011,5,0.0
L00335,O50138,P2015,4,0.0
L00336,O50138,P2005,3,0.1
L00337,O50138,P2006,4,0.05
L00338,O50139,P2003,2,0.0
L00339,O50139,P2006,2,0.15
L00340,O50140,P2010,4,0.1
L00341,O50141,P2006,1,0.0
L00342,O50141,P2006,2,0.2
L00343,O50142,P2011,5,0.0
L00344,O50143,P2005,2,0.1
L00345,O50143,P2014,3,0.15
L00346,O50143,P2011,5,0.0
L00347,O50144,P2012,2,0.0
L00348,O50144,P2015,2,0.15
L00349,O50145,P2012,2,0.15
L00350,O50145,P2008,1,0.1
L00351,O50145,P2001,5,0.05
L00352,O50146,P2008,3,0.0
L00353,O50146,P2010,6,0.0
L00354,O50146,P2004,2,0.0
L00355,O50146,P2009,1,0.15
L00356,O50147,P2005,3,0.0
L00357,O50148,P2007,4,0.1
L00358,O50148,P2003,1,0.0
L00359,O50148,P2007,4,0.15
L00360,O50148,P2015,4,0.15
L00361,O50149,P2001,6,0.0
L00362,O50149,P2001,4,0.05
L00363,O50149,P2012,2,0.0
L00364,O50150,P2002,2,0.1
L00365,O50151,P2013,5,0.0
L00366,O50151,P2014,2,0.0
L00367,O50151,P2012,4,0.15
L00368,O50152,P2014,2,0.15
L00369,O50152,P2014,3,0.0
L00370,O50153,P2014,1,0.0
L00371,O50153,P2005,3,0.0
L00372,O50153,P2003,2,0.2
L00373,O50153,P2004,2,0.2
L00374,O50154,P2012,2,0.1
L00375,O50154,P2010,4,0.1
L00376,O50154,P2005,3,0.2
L00377,O50155,P2005,2,0.0
L00378,O50156,P2011,4,0.0
L00379,O50156,P2010,3,0.0
L00380,O50157,P2012,5,0.0
L00381,O50157,P2015,2,0.0
L00382,O50157,P2014,2,0.0
L00383,O50158,P2007,1,0.0
L00384,O50158,P2003,2,0.0
L00385,O50158,P2009,4,0.2
L00386,O50158,P2011,1,0.15
L00387,O50159,P2009,1,0.0
L00388,O50159,P2005,5,0.1
L00389,O50160,P2013,4,0.1
L00390,O50160,P2001,1,0.0
L00391,O50160,P2006,4,0.2
L00392,O50161,P2002,1,0.15
L00393,O50162,P2010,1,0.1
L00394,O50162,P2012,1,0.0
L00395,O50163,P2006,1,0.05
L00396,O50163,P2005,3,0.0
L00397,O50163,P2006,2,0.0
L00398,O50163,P2001,1,0.0
L00399,O50164,P2014,3,0.2
L00400,O50164,P2005,1,0.0
L00401,O50164,P2015,1,0.05
L00402,O50164,P2011,1,0.0
L00403,O50165,P2001,2,0.0
L00404,O50165,P2013,4,0.2
L00405,O50165,P2010,5,0.1
L00406,O50166,P2015,3,0.0
L00407,O50166,P2011,1,0.0
L00408,O50166,P2014,5,0.05
L00409,O50167,P2010,6,0.0
L00410,O50168,P2008,5,0.0
L00411,O50168,P2003,6,0.1
L00412,O50168,P2002,1,0.0
L00413,O50168,P2013,4,0.0
L00414,O50169,P2010,1,0.05
L00415,O50169,P2008,5,0.1
L00416,O50170,P2006,2,0.0
L00417,O50170,P2009,4,0.2
L00418,O50170,P2003,4,0.15
L00419,O50170,P2012,5,0.1
L00420,O50171,P2008,6,0.0
L00421,O50171,P2002,1,0.0
L00422,O50171,P2004,1,0.0
L00423,O50171,P2010,3,0.1
L00424,O50172,P2012,6,0.0
L00425,O50172,P2009,6,0.0
L00426,O50172,P2012,4,0.0
L00427,O50172,P2001,1,0.0
L00428,O50173,P2009,5,0.1
L00429,O50173,P2005,5,0.0
L00430,O50174,P2013,6,0.0
L00431,O50174,P2011,2,0.05
L00432,O50174,P2010,2,0.0
L00433,O50174,P2007,1,0.0
L00434,O50175,P2008,1,0.0
L00435,O50175,P2007,6,0.0
L00436,O50175,P2004,3,0.0
L00437,O50176,P2014,6,0.15
L00438,O50176,P2009,5,0.0
L00439,O50176,P2005,6,0.0
L00440,O50177,P2005,5,0.15
L00441,O50177,P2005,3,0.2
L00442,O50177,P2008,4,0.0
L00443,O50178,P2008,5,0.1
L00444,O50178,P2001,1,0.0
L00445,O50178,P2002,2,0.0
L00446,O50178,P2009,1,0.1
L00447,O50179,P2005,1,0.0
L00448,O50180,P2006,1,0.0
L00449,O50180,P2004,6,0.2
L00450,O50180,P2012,2,0.2
L00451,O50180,P2003,2,0.1
L00452,O50181,P2011,5,0.1
L00453,O50181,P2009,5,0.05
L00454,O50181,P2007,4,0.0
L00455,O50182,P2002,4,0.0
L00456,O50182,P2010,1,0.0
L00457,O50182,P2005,1,0.1
L00458,O50182,P2003,1,0.0
L00459,O50183,P2001,1,0.0
L00460,O50183,P2007,3,0.1
L00461,O50183,P2011,4,0.05
L00462,O50184,P2008,1,0.1
L00463,O50185,P2015,3,0.0
L00464,O50185,P2002,1,0.2
L00465,O50185,P2008,2,0.0
L00466,O50185,P2014,6,0.1
L00467,O50186,P2001,6,0.0
L00468,O50186,P2001,3,0.0
L00469,O50187,P2002,6,0.2
L00470,O50187,P2008,4,0.05
L00471,O50187,P2007,2,0.0
L00472,O50188,P2012,6,0.0
L00473,O50189,P2012,2,0.0
L00474,O50190,P2007,5,0.1
L00475,O50190,P2011,4,0.15
L00476,O50190,P2010,6,0.15
L00477,O50190,P2007,6,0.0
L00478,O50191,P2002,6,0.0
L00479,O50191,P2011,1,0.0
L00480,O50191,P2007,3,0.0
L00481,O50192,P2008,4,0.0
L00482,O50192,P2014,6,0.0
L00483,O50193,P2012,5,0.0
L00484,O50193,P2003,1,0.05
L00485,O50193,P2007,5,0.1
L00486,O50194,P2009,6,0.0
L00487,O50195,P2014,1,0.0
L00488,O50195,P2014,1,0.0
L00489,O50195,P2004,3,0.0
L00490,O50195,P2009,4,0.05
L00491,O50196,P2011,2,0.0
L00492,O50196,P2011,2,0.05
L00493,O50196,P2006,6,0.0
L00494,O50197,P2011,2,0.1
L00495,O50197,P2005,4,0.0
L00496,O50197,P2006,3,0.15
L00497,O50198,P2001,6,0.0
L00498,O50198,P2013,3,0.0
L00499,O50198,P2008,4,0.15
L00500,O50199,P2008,3,0.2
L00501,O50200,P9999,1,0.15
L00502,O50201,P2010,4,0.0
L00503,O50201,P2009,5,0.05
L00504,O50201,P2015,6,0.0
L00505,O50201,P2003,2,0.0
L00506,O50202,P2011,2,0.0
L00507,O50202,P2015,2,0.15
L00508,O50203,P2013,1,0.0
L00509,O50203,P2002,5,0.1
L00510,O50203,P2013,1,0.15
L00511,O50204,P2008,3,0.15
L00512,O50204,P2014,5,0.05
L00513,O50205,P2006,2,0.05
L00514,O50205,P2011,1,0.1
L00515,O50205,P2015,1,0.05
L00516,O50205,P2009,1,0.0
L00517,O50206,P2004,3,0.1
L00518,O50206,P2010,5,0.15
L00519,O50206,P2001,2,0.0
L00520,O50207,P2005,4,0.0
L00521,O50207,P2006,1,0.05
L00522,O50207,P2011,1,0.15
L00523,O50207,P2011,6,0.15
L00524,O50208,P2009,2,0.2
L00525,O50208,P2009,3,0.0
L00526,O50208,P2004,1,0.0
L00527,O50209,P2007,2,0.0
L00528,O50209,P2009,4,0.0
L00529,O50209,P2012,2,0.0
L00530,O50210,P2006,1,0.0
L00531,O50210,P2014,1,0.1
L00532,O50210,P2011,2,0.15
L00533,O50210,P2005,1,0.05
L00534,O50211,P2010,1,0.0
L00535,O50211,P2003,6,0.1
L00536,O50211,P2005,6,0.15
L00537,O50212,P2001,1,0.0
L00538,O50213,P2008,5,0.0
L00539,O50213,P2006,2,0.1
L00540,O50213,P2002,5,0.05
L00541,O50213,P2006,2,0.0
L00542,O50214,P2015,5,0.0
L00543,O50214,P2007,5,0.0
L00544,O50214,P2009,3,0.0
L00545,O50214,P2009,5,0.15
L00546,O50215,P2003,6,0.05
L00547,O50215,P2005,3,0.1
L00548,O50215,P2002,6,0.05
L00549,O50215,P2009,5,0.1
L00550,O50216,P2011,2,0.0
L00551,O50217,P2010,3,0.05
L00552,O50217,P2015,1,0.15
L00553,O50217,P2008,4,0.0
L00554,O50218,P2013,2,0.1
L00555,O50218,P2011,3,0.15
L00556,O50218,P2006,6,0.05
L00557,O50219,P2006,1,0.1
L00558,O50219,P2015,5,0.05
L00559,O50220,P2008,3,0.1
L00560,O50220,P2013,3,0.2
L00561,O50220,P2005,4,0.2
L00562,O50221,P2004,6,0.15
L00563,O50221,P2014,5,0.05
L00564,O50221,P2013,2,0.05
L00565,O50222,P2012,4,0.15
L00566,O50222,P2008,6,0.0
L00567,O50222,P2002,5,0.0
L00568,O50222,P2008,5,0.0
L00569,O50223,P2006,6,0.05
L00570,O50224,P2001,6,0.0
L00571,O50224,P2001,1,0.1
L00572,O50225,P2005,5,0.0
L00573,O50226,P2009,5,0.0
L00574,O50226,P2003,3,0.05
L00575,O50226,P2014,4,0.0
L00576,O50227,P2003,2,0.0
L00577,O50227,P2007,3,0.2
L00578,O50227,P2003,1,0.15
L00579,O50227,P2007,6,0.05
L00580,O50228,P2006,1,0.0
L00581,O50228,P2008,1,0.05
L00582,O50229,P2009,6,0.05
L00583,O50229,P2007,4,0.1
L00584,O50229,P2010,4,0.15
L00585,O50229,P2014,2,0.2
L00586,O50230,P2013,5,0.05
L00587,O50230,P2013,4,0.0
L00588,O50231,P2003,5,0.0
L00589,O50231,P2004,2,0.0
L00590,O50231,P2005,2,0.0
L00591,O50231,P2003,5,0.0
L00592,O50232,P2012,1,0.1
L00593,O50232,P2002,4,0.0
L00594,O50232,P2012,4,0.15
L00595,O50233,P2014,5,0.0
L00596,O50233,P2002,3,0.1
L00597,O50233,P2006,2,0.1
L00598,O50234,P2005,2,0.0
L00599,O50235,P2004,1,0.2
L00600,O50235,P2009,6,0.15
L00601,O50235,P2005,6,0.0
L00602,O50235,P2011,2,0.0
L00603,O50236,P2008,6,0.2
L00604,O50237,P2012,1,0.0
L00605,O50238,P2004,4,0.0
L00606,O50239,P2006,4,0.0
L00607,O50240,P2010,1,0.05
L00608,O50240,P2014,4,0.0
L00609,O50240,P2011,3,0.0
L00610,O50241,P2005,6,0.05
L00611,O50242,P2005,5,0.15
L00612,O50243,P2007,5,0.05
L00613,O50243,P2012,6,0.1
L00614,O50244,P2010,1,0.0
L00615,O50244,P2003,5,0.05
L00616,O50244,P2015,5,0.05
L00617,O50244,P2007,2,0.15
L00618,O50245,P2002,2,0.1
L00619,O50246,P2009,4,0.0
L00620,O50246,P2005,1,0.0
L00621,O50246,P2013,3,0.1
L00622,O50247,P2005,3,0.0
L00623,O50248,P2004,3,0.0
L00624,O50248,P2013,6,0.0
L00625,O50249,P2009,2,0.0
L00626,O50250,P2002,4,0.0
L00627,O50250,P2003,5,0.0
L00628,O50250,P2014,2,0.15
L00629,O50250,P2004,3,0.1
L00630,O50251,P2006,2,0.0
L00631,O50251,P2006,2,0.0
L00632,O50251,P2015,3,0.05
L00633,O50251,P2014,3,0.05
L00634,O50252,P2005,1,0.1
L00635,O50252,P2006,5,0.0
L00636,O50252,P2014,6,0.0
L00637,O50253,P2014,1,0.1
L00638,O50253,P2001,2,0.0
L00639,O50253,P2011,3,0.0
L00640,O50254,P2002,4,0.2
L00641,O50254,P2006,4,0.0
L00642,O50254,P2010,5,0.05
L00643,O50254,P2001,4,0.05
L00644,O50255,P2004,5,0.0
L00645,O50256,P2005,4,0.0
L00646,O50256,P2001,1,0.15
L00647,O50257,P2002,2,0.05
L00648,O50257,P2015,5,0.0
L00649,O50258,P2003,4,0.1
L00650,O50259,P2013,3,0.1
L00651,O50259,P2011,6,0.1
L00652,O50260,P2015,4,0.15
L00653,O50260,P2012,6,0.1
L00654,O50260,P2013,3,0.2
L00655,O50260,P2013,4,0.1
L00656,O50261,P2009,4,0.15
L00657,O50261,P2003,3,0.15
L00658,O50262,P2012,6,0.0
L00659,O50262,P2015,4,0.1
L00660,O50262,P2011,4,0.15
L00661,O50262,P2015,3,0.05
L00662,O50263,P2014,2,0.2
L00663,O50263,P2004,2,0.1
L00664,O50263,P2015,5,0.0
L00665,O50264,P2004,3,0.15
L00666,O50264,P2003,5,0.0
L00667,O50264,P2008,1,0.0
L00668,O50265,P2013,6,0.0
L00669,O50265,P2009,2,0.0
L00670,O50265,P2012,4,0.0
L00671,O50266,P2012,4,0.0
L00672,O50267,P2008,2,0.0
L00673,O50267,P2001,6,0.0
L00674,O50268,P2015,3,0.0
L00675,O50269,P2005,2,0.0
L00676,O50269,P2007,5,0.05
L00677,O50270,P2006,2,0.1
L00678,O50271,P2010,6,0.2
L00679,O50271,P2007,5,0.15
L00680,O50271,P2008,5,0.05
L00681,O50272,P2011,4,0.1
L00682,O50272,P2002,1,0.0
L00683,O50273,P2008,6,0.2
L00684,O50273,P2007,2,0.05
L00685,O50273,P2011,6,0.2
L00686,O50273,P2008,1,0.0
L00687,O50274,P2011,1,0.0
L00688,O50274,P2004,1,0.0
L00689,O50274,P2001,1,0.1
L00690,O50275,P2009,4,0.1
L00691,O50275,P2010,3,0.0
L00692,O50275,P2002,1,0.0
L00693,O50276,P2005,4,0.0
L00694,O50277,P2001,1,0.1
L00695,O50278,P2010,4,0.1
L00696,O50278,P2015,6,0.0
L00697,O50278,P2009,6,0.0
L00698,O50278,P2009,5,0.0
L00699,O50279,P2015,3,0.0
L00700,O50279,P2003,5,0.15
L00701,O50280,P2012,3,0.05
L00702,O50280,P2010,4,0.1
L00703,O50280,P2001,3,0.0
L00704,O50281,P2002,2,0.2
L00705,O50281,P2010,4,0.0
L00706,O50281,P2007,4,0.0
L00707,O50282,P2008,2,0.0
L00708,O50282,P2005,5,0.0
L00709,O50282,P2011,5,0.0
L00710,O50283,P2006,5,0.1
L00711,O50283,P2008,4,0.05
L00712,O50283,P2001,6,0.05
L00713,O50283,P2006,5,0.1
L00714,O50284,P2004,1,0.0
L00715,O50284,P2005,4,0.0
L00716,O50284,P2005,6,0.05
L00717,O50285,P2004,2,0.1
L00718,O50285,P2003,3,0.1
L00719,O50286,P2002,1,0.0
L00720,O50286,P2008,6,0.0
L00721,O50287,P2004,6,0.0
L00722,O50287,P2005,4,0.0
L00723,O50287,P2003,4,0.0
L00724,O50288,P2006,6,0.0
L00725,O50289,P2013,1,0.2
L00726,O50290,P2007,2,0.2
L00727,O50290,P2001,1,0.0
L00728,O50290,P2001,3,0.15
L00729,O50291,P2008,5,0.0
L00730,O50291,P2005,6,0.0
L00731,O50291,P2009,6,0.15
L00732,O50292,P2014,3,0.0
L00733,O50292,P2004,6,0.05
L00734,O50292,P2010,5,0.15
L00735,O50292,P2008,6,0.0
L00736,O50293,P2001,3,0.0
L00737,O50293,P2009,2,0.0
L00738,O50293,P2012,5,0.1
L00739,O50294,P2008,1,0.1
L00740,O50295,P2002,5,0.15
L00741,O50295,P2008,4,0.15
L00742,O50296,P2008,1,0.15
L00743,O50297,P2005,3,0.0
L00744,O50297,P2003,2,0.05
L00745,O50298,P2009,3,0.0
L00746,O50298,P2010,3,0.15
L00747,O50298,P2004,2,0.15
L00748,O50298,P2006,1,0.05
L00749,O50299,P2004,4,0.15
L00750,O50300,P2003,1,0.05
L00751,O50301,P2012,4,0.05
L00752,O50301,P2011,1,0.05
L00753,O50301,P2002,2,0.0
L00754,O50301,P2005,4,0.05
L00755,O50302,P2002,3,0.0
L00756,O50302,P2002,5,0.05
L00757,O50302,P2003,5,0.15
L00758,O50302,P2003,2,0.0
L00759,O50303,P2014,6,0.0
L00760,O50304,P2007,3,0.2
L00761,O50305,P2012,5,0.0
L00762,O50305,P2001,4,0.2
L00763,O50305,P2002,6,0.0
L00764,O50305,P2001,3,0.0
L00765,O50306,P2002,1,0.0
L00766,O50306,P2011,6,0.0
L00767,O50306,P2006,3,0.0
L00768,O50307,P2003,3,0.0
L00769,O50307,P2010,6,0.0
L00770,O50308,P2008,5,0.0
L00771,O50308,P2003,4,0.0
L00772,O50308,P2004,4,0.05
L00773,O50308,P2003,6,0.0
L00774,O50309,P2009,3,0.05
L00775,O50309,P2004,2,0.0
